Algorithm,Vertices,Probability,VC_Size,Runtime
LP_Rounding,500,0.002,139,0.028688907623291016
GreedyMIS,500,0.0005,46,0.00020003318786621094
NeighborCover,500,0.0005,50,0.006607770919799805
ParallelNeighborCover,500,0.0005,49,0.0002651214599609375
LP_Rounding,500,0.0005,45,0.025895118713378906
GreedyMIS,500,0.0005,59,0.0002238750457763672
NeighborCover,500,0.0005,59,0.0066912174224853516
ParallelNeighborCover,500,0.0005,59,0.0002949237823486328
LP_Rounding,500,0.0005,57,0.025297164916992188
GreedyMIS,500,0.0005,59,0.00020575523376464844
NeighborCover,500,0.0005,57,0.0063800811767578125
ParallelNeighborCover,500,0.0005,56,0.0002779960632324219
LP_Rounding,500,0.0005,55,0.025027990341186523
GreedyMIS,1000,0.03,888,0.00045490264892578125
NeighborCover,1000,0.03,888,0.0021228790283203125
ParallelNeighborCover,1000,0.03,889,0.001489877700805664
LP_Rounding,1000,0.03,1000,0.19410991668701172
GreedyMIS,1000,0.03,890,0.0004360675811767578
NeighborCover,1000,0.03,879,0.0021581649780273438
ParallelNeighborCover,1000,0.03,891,0.0013082027435302734
LP_Rounding,1000,0.03,1000,0.2218928337097168
GreedyMIS,1000,0.03,886,0.0004680156707763672
NeighborCover,1000,0.03,887,0.002009868621826172
ParallelNeighborCover,1000,0.03,889,0.001293182373046875
LP_Rounding,1000,0.03,1000,0.2342226505279541
GreedyMIS,1000,0.02,847,0.0005319118499755859
NeighborCover,1000,0.02,851,0.0030100345611572266
ParallelNeighborCover,1000,0.02,856,0.0013072490692138672
LP_Rounding,1000,0.02,1000,0.15248823165893555
GreedyMIS,1000,0.02,848,0.0004589557647705078
NeighborCover,1000,0.02,857,0.0026197433471679688
ParallelNeighborCover,1000,0.02,851,0.0012600421905517578
LP_Rounding,1000,0.02,1000,0.18188905715942383
GreedyMIS,1000,0.02,840,0.00041294097900390625
NeighborCover,1000,0.02,855,0.002871990203857422
ParallelNeighborCover,1000,0.02,848,0.0013549327850341797
LP_Rounding,1000,0.02,1000,0.1526780128479004
GreedyMIS,1000,0.01,760,0.00043010711669921875
NeighborCover,1000,0.01,760,0.004795074462890625
ParallelNeighborCover,1000,0.01,756,0.0010869503021240234
LP_Rounding,1000,0.01,1000,0.12595081329345703
GreedyMIS,1000,0.01,758,0.00047588348388671875
NeighborCover,1000,0.01,758,0.004881143569946289
ParallelNeighborCover,1000,0.01,770,0.0012440681457519531
LP_Rounding,1000,0.01,1000,0.09561419486999512
GreedyMIS,1000,0.01,749,0.0004749298095703125
NeighborCover,1000,0.01,760,0.0051152706146240234
ParallelNeighborCover,1000,0.01,755,0.0011272430419921875
LP_Rounding,1000,0.01,1000,0.10901808738708496
GreedyMIS,1000,0.005,633,0.0004248619079589844
NeighborCover,1000,0.005,642,0.00806117057800293
ParallelNeighborCover,1000,0.005,655,0.00115203857421875
LP_Rounding,1000,0.005,992,0.0724787712097168
GreedyMIS,1000,0.005,639,0.00045013427734375
NeighborCover,1000,0.005,643,0.008098125457763672
ParallelNeighborCover,1000,0.005,632,0.0010411739349365234
LP_Rounding,1000,0.005,990,0.06943988800048828
GreedyMIS,1000,0.005,646,0.00041794776916503906
NeighborCover,1000,0.005,640,0.008087635040283203
ParallelNeighborCover,1000,0.005,637,0.0009469985961914062
LP_Rounding,1000,0.005,991,0.08084893226623535
GreedyMIS,1000,0.003,539,0.0004990100860595703
NeighborCover,1000,0.003,539,0.011181831359863281
ParallelNeighborCover,1000,0.003,550,0.0008749961853027344
LP_Rounding,1000,0.003,840,0.0873558521270752
GreedyMIS,1000,0.003,518,0.00047898292541503906
NeighborCover,1000,0.003,533,0.011626005172729492
ParallelNeighborCover,1000,0.003,518,0.0008831024169921875
LP_Rounding,1000,0.003,750,0.0553128719329834
GreedyMIS,1000,0.003,520,0.00046896934509277344
NeighborCover,1000,0.003,543,0.010689020156860352
ParallelNeighborCover,1000,0.003,529,0.0010786056518554688
LP_Rounding,1000,0.003,858,0.05886483192443848
GreedyMIS,1000,0.002,451,0.0004520416259765625
NeighborCover,1000,0.002,449,0.013775110244750977
ParallelNeighborCover,1000,0.002,458,0.000888824462890625
LP_Rounding,1000,0.002,395,0.044877052307128906
GreedyMIS,1000,0.002,460,0.0004439353942871094
NeighborCover,1000,0.002,444,0.013942241668701172
ParallelNeighborCover,1000,0.002,446,0.0007929801940917969
LP_Rounding,1000,0.002,454,0.04504799842834473
GreedyMIS,1000,0.002,445,0.0004858970642089844
NeighborCover,1000,0.002,458,0.013520002365112305
ParallelNeighborCover,1000,0.002,428,0.0008931159973144531
LP_Rounding,1000,0.002,382,0.04714322090148926
GreedyMIS,1000,0.0005,203,0.0004532337188720703
NeighborCover,1000,0.0005,198,0.022142887115478516
ParallelNeighborCover,1000,0.0005,197,0.0006079673767089844
LP_Rounding,1000,0.0005,183,0.03436112403869629
GreedyMIS,1000,0.0005,186,0.00048089027404785156
NeighborCover,1000,0.0005,185,0.02297806739807129
ParallelNeighborCover,1000,0.0005,180,0.0005979537963867188
LP_Rounding,1000,0.0005,170,0.03267812728881836
GreedyMIS,1000,0.0005,192,0.0004429817199707031
NeighborCover,1000,0.0005,181,0.022977113723754883
ParallelNeighborCover,1000,0.0005,191,0.0006132125854492188
LP_Rounding,1000,0.0005,172,0.05920720100402832
GreedyMIS,1500,0.03,1373,0.0008211135864257812
NeighborCover,1500,0.03,1364,0.0036187171936035156
ParallelNeighborCover,1500,0.03,1380,0.002315044403076172
LP_Rounding,1500,0.03,1500,0.49637413024902344
GreedyMIS,1500,0.03,1377,0.0006000995635986328
NeighborCover,1500,0.03,1371,0.0037660598754882812
ParallelNeighborCover,1500,0.03,1371,0.002847909927368164
LP_Rounding,1500,0.03,1500,0.5333712100982666
GreedyMIS,1500,0.03,1372,0.0006551742553710938
NeighborCover,1500,0.03,1375,0.003776073455810547
ParallelNeighborCover,1500,0.03,1374,0.0028181076049804688
LP_Rounding,1500,0.03,1500,0.5189540386199951
GreedyMIS,1500,0.02,1325,0.0006000995635986328
NeighborCover,1500,0.02,1331,0.00500798225402832
ParallelNeighborCover,1500,0.02,1335,0.002302885055541992
LP_Rounding,1500,0.02,1500,0.35078883171081543
GreedyMIS,1500,0.02,1326,0.0006117820739746094
NeighborCover,1500,0.02,1324,0.005390167236328125
ParallelNeighborCover,1500,0.02,1327,0.002370119094848633
LP_Rounding,1500,0.02,1500,0.3956899642944336
GreedyMIS,1500,0.02,1325,0.0006809234619140625
NeighborCover,1500,0.02,1329,0.005113840103149414
ParallelNeighborCover,1500,0.02,1321,0.002511262893676758
LP_Rounding,1500,0.02,1500,0.33807897567749023
GreedyMIS,1500,0.01,1214,0.0006000995635986328
NeighborCover,1500,0.01,1228,0.00900888442993164
ParallelNeighborCover,1500,0.01,1226,0.002039670944213867
LP_Rounding,1500,0.01,1500,0.1781177520751953
GreedyMIS,1500,0.01,1232,0.0006582736968994141
NeighborCover,1500,0.01,1226,0.008746147155761719
ParallelNeighborCover,1500,0.01,1230,0.00226593017578125
LP_Rounding,1500,0.01,1500,0.227402925491333
GreedyMIS,1500,0.01,1227,0.0007688999176025391
NeighborCover,1500,0.01,1220,0.008617877960205078
ParallelNeighborCover,1500,0.01,1227,0.002192974090576172
LP_Rounding,1500,0.01,1500,0.18033194541931152
GreedyMIS,1500,0.005,1075,0.0006468296051025391
NeighborCover,1500,0.005,1062,0.014815092086791992
ParallelNeighborCover,1500,0.005,1054,0.0018658638000488281
LP_Rounding,1500,0.005,1499,0.15430998802185059
GreedyMIS,1500,0.005,1065,0.0006158351898193359
NeighborCover,1500,0.005,1062,0.015337944030761719
ParallelNeighborCover,1500,0.005,1081,0.0016241073608398438
LP_Rounding,1500,0.005,1500,0.12172818183898926
GreedyMIS,1500,0.005,1098,0.0006136894226074219
NeighborCover,1500,0.005,1068,0.015238761901855469
ParallelNeighborCover,1500,0.005,1077,0.0018010139465332031
LP_Rounding,1500,0.005,1499,0.12017512321472168
GreedyMIS,1500,0.003,933,0.0006308555603027344
NeighborCover,1500,0.003,927,0.021773099899291992
ParallelNeighborCover,1500,0.003,935,0.0015821456909179688
LP_Rounding,1500,0.003,1479,0.09827971458435059
GreedyMIS,1500,0.003,939,0.0007150173187255859
NeighborCover,1500,0.003,930,0.02192521095275879
ParallelNeighborCover,1500,0.003,931,0.0015118122100830078
LP_Rounding,1500,0.003,1469,0.12300586700439453
GreedyMIS,1500,0.003,921,0.0007598400115966797
NeighborCover,1500,0.003,940,0.02013087272644043
ParallelNeighborCover,1500,0.003,914,0.0016109943389892578
LP_Rounding,1500,0.003,1478,0.09466814994812012
GreedyMIS,1500,0.002,816,0.0007119178771972656
NeighborCover,1500,0.002,814,0.02589702606201172
ParallelNeighborCover,1500,0.002,800,0.0014102458953857422
LP_Rounding,1500,0.002,1236,0.08272290229797363
GreedyMIS,1500,0.002,826,0.0007448196411132812
NeighborCover,1500,0.002,813,0.026679039001464844
ParallelNeighborCover,1500,0.002,818,0.0013461112976074219
LP_Rounding,1500,0.002,1318,0.08084416389465332
GreedyMIS,1500,0.002,813,0.0006515979766845703
NeighborCover,1500,0.002,821,0.026440143585205078
ParallelNeighborCover,1500,0.002,812,0.001313924789428711
LP_Rounding,1500,0.002,1347,0.08007216453552246
GreedyMIS,1500,0.0005,357,0.0006000995635986328
NeighborCover,1500,0.0005,368,0.04955005645751953
ParallelNeighborCover,1500,0.0005,355,0.0009808540344238281
LP_Rounding,1500,0.0005,327,0.041043996810913086
GreedyMIS,1500,0.0005,369,0.0006299018859863281
NeighborCover,1500,0.0005,354,0.05058002471923828
ParallelNeighborCover,1500,0.0005,368,0.0009732246398925781
LP_Rounding,1500,0.0005,328,0.041135311126708984
GreedyMIS,1500,0.0005,368,0.0006048679351806641
NeighborCover,1500,0.0005,374,0.04965686798095703
ParallelNeighborCover,1500,0.0005,385,0.0009799003601074219
LP_Rounding,1500,0.0005,342,0.04292893409729004
GreedyMIS,2000,0.03,1853,0.0008561611175537109
NeighborCover,2000,0.03,1860,0.004765987396240234
ParallelNeighborCover,2000,0.03,1867,0.0035638809204101562
LP_Rounding,2000,0.03,2000,0.9161570072174072
GreedyMIS,2000,0.03,1872,0.00109100341796875
NeighborCover,2000,0.03,1862,0.004731893539428711
ParallelNeighborCover,2000,0.03,1860,0.003648042678833008
LP_Rounding,2000,0.03,2000,0.8810889720916748
GreedyMIS,2000,0.03,1863,0.0007979869842529297
NeighborCover,2000,0.03,1869,0.005273103713989258
ParallelNeighborCover,2000,0.03,1866,0.00347900390625
LP_Rounding,2000,0.03,2000,0.9333407878875732
GreedyMIS,2000,0.02,1822,0.0008790493011474609
NeighborCover,2000,0.02,1826,0.00642085075378418
ParallelNeighborCover,2000,0.02,1809,0.0032248497009277344
LP_Rounding,2000,0.02,2000,0.5808408260345459
GreedyMIS,2000,0.02,1818,0.000820159912109375
NeighborCover,2000,0.02,1820,0.0065310001373291016
ParallelNeighborCover,2000,0.02,1824,0.0031371116638183594
LP_Rounding,2000,0.02,2000,0.6097290515899658
GreedyMIS,2000,0.02,1805,0.0010068416595458984
NeighborCover,2000,0.02,1813,0.006763935089111328
ParallelNeighborCover,2000,0.02,1811,0.0033507347106933594
LP_Rounding,2000,0.02,2000,0.5806789398193359
GreedyMIS,2000,0.01,1697,0.0007729530334472656
NeighborCover,2000,0.01,1698,0.012148141860961914
ParallelNeighborCover,2000,0.01,1696,0.003345012664794922
LP_Rounding,2000,0.01,2000,0.333629846572876
GreedyMIS,2000,0.01,1696,0.0009388923645019531
NeighborCover,2000,0.01,1703,0.011831045150756836
ParallelNeighborCover,2000,0.01,1700,0.0031747817993164062
LP_Rounding,2000,0.01,2000,0.3183779716491699
GreedyMIS,2000,0.01,1698,0.0007989406585693359
NeighborCover,2000,0.01,1702,0.011571884155273438
ParallelNeighborCover,2000,0.01,1701,0.003033161163330078
LP_Rounding,2000,0.01,2000,0.3238101005554199
GreedyMIS,2000,0.005,1513,0.0008456707000732422
NeighborCover,2000,0.005,1528,0.02021312713623047
ParallelNeighborCover,2000,0.005,1525,0.002377033233642578
LP_Rounding,2000,0.005,2000,0.21608281135559082
GreedyMIS,2000,0.005,1531,0.0007579326629638672
NeighborCover,2000,0.005,1531,0.020924091339111328
ParallelNeighborCover,2000,0.005,1539,0.0022726058959960938
LP_Rounding,2000,0.005,2000,0.19168710708618164
GreedyMIS,2000,0.005,1522,0.0007939338684082031
NeighborCover,2000,0.005,1525,0.020905017852783203
ParallelNeighborCover,2000,0.005,1527,0.0028879642486572266
LP_Rounding,2000,0.005,2000,0.21699285507202148
GreedyMIS,2000,0.003,1333,0.0012202262878417969
NeighborCover,2000,0.003,1345,0.029532909393310547
ParallelNeighborCover,2000,0.003,1348,0.002437114715576172
LP_Rounding,2000,0.003,1995,0.1463942527770996
GreedyMIS,2000,0.003,1341,0.0009522438049316406
NeighborCover,2000,0.003,1341,0.03018808364868164
ParallelNeighborCover,2000,0.003,1352,0.002131938934326172
LP_Rounding,2000,0.003,1992,0.17113709449768066
GreedyMIS,2000,0.003,1347,0.0009210109710693359
NeighborCover,2000,0.003,1337,0.030952930450439453
ParallelNeighborCover,2000,0.003,1333,0.002373218536376953
LP_Rounding,2000,0.003,1991,0.1511988639831543
GreedyMIS,2000,0.002,1211,0.0008289813995361328
NeighborCover,2000,0.002,1208,0.03716707229614258
ParallelNeighborCover,2000,0.002,1212,0.002231121063232422
LP_Rounding,2000,0.002,1937,0.11909890174865723
GreedyMIS,2000,0.002,1209,0.0008251667022705078
NeighborCover,2000,0.002,1194,0.03776812553405762
ParallelNeighborCover,2000,0.002,1170,0.001947164535522461
LP_Rounding,2000,0.002,1951,0.12206912040710449
GreedyMIS,2000,0.002,1190,0.0014219284057617188
NeighborCover,2000,0.002,1182,0.03954887390136719
ParallelNeighborCover,2000,0.002,1209,0.001905202865600586
LP_Rounding,2000,0.002,1957,0.12287592887878418
GreedyMIS,2000,0.0005,617,0.0007872581481933594
NeighborCover,2000,0.0005,637,0.07561087608337402
ParallelNeighborCover,2000,0.0005,633,0.001920938491821289
LP_Rounding,2000,0.0005,560,0.05481910705566406
GreedyMIS,2000,0.0005,630,0.0009472370147705078
